crawling_property_id,parking_available,pet_allowed,is_elevator,jeonse_loan,nearby_pois,delivery_service,amenity,subway
42295851,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '산 근처', '학원가 근처']","['5호선', '7호선']"
42296365,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '쇼핑몰', '공원', '학원가 근처']","['1호선', '7호선']"
42334867,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '대학 근처', '편리한 상권', '공원', '학원가 근처']","['1호선', '중앙선', '경춘선']"
42336332,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '공원', '학원가 근처']","['중앙선', '경춘선', '7호선']"
42336757,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['대학 근처', '편리한 상권', '공원', '학원가 근처']","['1호선', '중앙선', '경춘선', '수인분당선']"
42358385,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['더블 역세권', '편리한 상권', '공원', '학원가 근처']","['중앙선', '경춘선', '7호선']"
42359955,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '산 근처', '학원가 근처']","['5호선', '7호선']"
42378317,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '쇼핑몰', '공원', '학원가 근처']","['5호선', '7호선']"
42422933,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '학원가 근처']","['2호선', '중앙선', '5호선', '경춘선', '1호선', '수인분당선']"
42422936,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '학원가 근처']","['2호선', '중앙선', '5호선', '경춘선', '1호선', '수인분당선']"
42442625,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '공원', '학원가 근처']","['1호선', '중앙선', '경춘선']"
42442647,1,1,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '공원', '산 근처', '학원가 근처']","['5호선', '7호선']"
42454544,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '쇼핑몰', '공원', '산 근처', '학원가 근처']","['5호선', '7호선']"
42478969,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '쇼핑몰', '공원', '학원가 근처']","['중앙선', '경춘선', '7호선']"
42481127,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '공원', '학원가 근처']","['1호선', '중앙선', '경춘선', '7호선']"
42490613,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '산 근처', '학원가 근처']","['5호선', '7호선']"
42543379,0,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '대학 근처', '편리한 상권', '공원', '학원가 근처']",['6호선']
42546742,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '쇼핑몰', '공원', '학원가 근처']","['2호선', '5호선']"
42563373,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '쇼핑몰', '공원', '학원가 근처']","['6호선', '7호선']"
42592080,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '쇼핑몰', '공원', '산 근처', '학원가 근처']","['5호선', '7호선']"
42592150,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '쇼핑몰', '공원', '산 근처', '학원가 근처']","['5호선', '7호선']"
42699018,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['더블 역세권', '편리한 상권', '공원', '학원가 근처']","['1호선', '중앙선', '경춘선', '7호선']"
42702997,0,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['대학 근처', '편리한 상권', '공원', '학원가 근처']","['5호선', '7호선']"
42736759,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '쇼핑몰', '공원', '산 근처', '학원가 근처']","['중앙선', '경춘선', '7호선']"
42761068,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '쇼핑몰', '공원', '산 근처', '학원가 근처']","['5호선', '7호선']"
42816785,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '학원가 근처']","['2호선', '5호선']"
42847090,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '쇼핑몰', '공원', '학원가 근처']","['2호선', '7호선']"
42862397,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '학원가 근처']","['2호선', '5호선', '7호선']"
42925557,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '학원가 근처']","['5호선', '7호선']"
42925718,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '학원가 근처']","['5호선', '7호선']"
42927075,1,1,0,1,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '학원가 근처']","['중앙선', '경춘선', '7호선']"
42945571,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '공원', '학원가 근처']","['중앙선', '경춘선', '7호선']"
42947722,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '쇼핑몰', '공원', '학원가 근처']","['5호선', '7호선']"
42988159,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '공원', '학원가 근처']","['1호선', '중앙선', '경춘선']"
43091802,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '쇼핑몰', '공원', '학원가 근처']",['2호선']
43093807,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '공원', '산 근처', '학원가 근처']","['5호선', '7호선']"
43095486,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '쇼핑몰', '공원', '학원가 근처']","['중앙선', '경춘선', '7호선']"
43095820,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '쇼핑몰', '공원', '학원가 근처']","['중앙선', '6호선']"
43098222,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '공원', '산 근처', '학원가 근처']","['5호선', '7호선']"
43105164,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '쇼핑몰', '공원', '학원가 근처']",['2호선']
43114752,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['역세권', '편리한 상권', '쇼핑몰', '공원', '산 근처', '학원가 근처']","['5호선', '7호선']"
43116286,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '쇼핑몰', '공원', '산 근처', '학원가 근처']","['5호선', '7호선']"
43137398,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '학원가 근처']","['2호선', '7호선']"
43138525,1,0,0,1,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '학원가 근처']","['2호선', '7호선']"
43138535,1,0,0,0,"['지하철역', '세탁소', '카페', '약국', '대형마트', '편의점', '버스정류장']","['쿠팡', 'SSG', '마켓컬리', '배달의 민족', '요기요']","['편리한 상권', '공원', '학원가 근처']","['2호선', '7호선']"
